DATA;ANO;TRIMESTRE;MES;DIRECAO;CONSIGNEE;CONSIGNEE_CNPJ;CONSIGNEE_TYPE;Classificacao Forwarder;FORWARDER;FORWARDER_CNPJ;FORWARDER_TYPE;Classificacao Notify;NOTIFY;NOTIFY_CNPJ;NOTIFY_RAIZ_CNPJ;NOTIFY_TYPE;SHIPPER;SHIPPER_CNPJ;SHIPPER_TYPE;CARRIER;MERCADORIA_NCM2;MERCADORIA_NCM4;CONTAINER;ORIGEM_TRADELANE;ORIGEM_COUNTRY;ORIGEM_PORTO;DESTINO_TRADELANE;DESTINO_COUNTRY;DESTINO_PORTO;TEUS;Negocios Com Craft 12M
25/07/2025;2025;2;AGO;IMPO;Fernandes da Mata Ltda.;09.145.268/0001-96;REAL DONO;Almeida - EI;Cunha Gonçalves e Filhos;16.938.752/0001-38;NVOCC;Sales Peixoto - EI;Sales Peixoto - EI;82.903.465/0001-17;82.903.465;AGENTE;Araújo e Filhos;72.301.495/0001-08;REAL DONO;CMA CGM;13 - DESCRIÇÃO NCM2;1345 - DESCRIÇÃO NCM4;ISO;AMERICA DO SUL;TAIWAN;SHANGHAI;ASIA;BRAZIL;PARANAGUA;0.71;NAO
19/05/2024;2024;2;ABR;EXPO;da Mota Siqueira e Filhos;14.792.803/0001-30;FORNECEDOR;Sales Azevedo e Filhos;Moraes;59.321.674/0001-30;NVOCC;Rocha - ME;Rocha - ME;51.670.394/0001-26;51.670.394;FORNECEDOR;Duarte;28.693.401/0001-93;FORNECEDOR;CMA CGM;83 - DESCRIÇÃO NCM2;831 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;JAPAO;TOKYO;EUROPA;URUGUAI;ITAJAI;2.1;SIM
28/12/2024;2024;2;JUN;IMPO;Dias e Filhos;60.285.379/0001-55;FORNECEDOR;da Cruz;Castro;70.128.394/0001-43;NVOCC;Ribeiro Dias Ltda.;Ribeiro Dias Ltda.;17.580.926/0001-04;17.580.926;AGENTE;Abreu;95.768.204/0001-83;FORNECEDOR;MAERSK LINE;40 - DESCRIÇÃO NCM2;4096 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;TAIWAN;LOS ANGELES;ECSA;ARGENTINA;BUENOS AIRES;0.54;NAO
07/03/2025;2025;1;JAN;EXPO;Campos e Filhos;09.261.435/0001-64;AGENTE;Z;Rocha - EI;29.630.541/0001-85;FORWARDER;Cavalcante S.A.;Cavalcante S.A.;60.125.394/0001-36;60.125.394;REAL DONO;Sampaio Abreu S.A.;67.312.048/0001-06;REAL DONO;MSC;61 - DESCRIÇÃO NCM2;6148 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;CHINA;TOKYO;ECSA;ARGENTINA;BUENOS AIRES;2.71;SIM
16/09/2024;2024;3;FEV;EXPO;Lopes - EI;08.956.147/0001-61;AGENTE;Jesus;da Rocha - ME;45.192.687/0001-42;FORWARDER;BCO;Novaes;04.137.258/0001-95;4.137.258;REAL DONO;das Neves;68.497.102/0001-06;FORNECEDOR;YANG MING;61 - DESCRIÇÃO NCM2;6167 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;EUA;NINGBO;EUROPA;ALEMANHA;BUENOS AIRES;1.95;SIM
27/03/2024;2024;4;JUN;IMPO;Siqueira - EI;83.094.265/0001-23;REAL DONO;Guerra;Porto Souza - ME;49.786.520/0001-60;NVOCC;Moraes;Moraes;95.278.361/0001-00;95.278.361;AGENTE;Fogaça Lima S.A.;42.169.753/0001-75;REAL DONO;COSCO;31 - DESCRIÇÃO NCM2;3195 - DESCRIÇÃO NCM4;REF;AMERICA DO NORTE;ALEMANHA;LOS ANGELES;EUROPA;EUA;SANTOS;0.56;NAO
30/05/2025;2025;4;AGO;IMPO;Nascimento Ltda.;29.710.356/0001-09;FORNECEDOR;Z;Moraes Siqueira Ltda.;53.872.064/0001-49;FORWARDER;BCO;Cardoso S/A;37.458.219/0001-49;37.458.219;AGENTE;Pimenta Ltda.;10.856.374/0001-67;REAL DONO;COSCO;88 - DESCRIÇÃO NCM2;8824 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;JAPAO;TOKYO;ECSA;URUGUAI;ITAJAI;4.93;NAO
30/06/2024;2024;1;NOV;EXPO;Dias Oliveira Ltda.;31.508.462/0001-48;REAL DONO;Marques Borges - EI;Leão;89.236.541/0001-27;FORWARDER;BCO;Sousa;97.382.560/0001-90;97.382.560;AGENTE;Souza;28.196.045/0001-00;FORNECEDOR;ONE;86 - DESCRIÇÃO NCM2;865 - DESCRIÇÃO NCM4;ISO;FAR EAST / JAP / SE ASIA;CHINA;TOKYO;ASIA;BRAZIL;ITAJAI;0.72;SIM
01/02/2024;2024;4;MAR;IMPO;Pimenta e Filhos;83.759.124/0001-82;REAL DONO;Nogueira Ltda.;Teixeira - ME;58.240.376/0001-53;AGENTE;da Rocha;da Rocha;89.253.746/0001-10;89.253.746;REAL DONO;Mendes Pimenta - EI;01.352.794/0001-15;FORNECEDOR;ONE;81 - DESCRIÇÃO NCM2;8117 - DESCRIÇÃO NCM4;REF;EUROPA;TAIWAN;LOS ANGELES;ASIA;EUA;BUENOS AIRES;0.46;SIM
10/04/2025;2025;1;MAI;EXPO;Ramos S/A;84.325.679/0001-89;FORNECEDOR;Cunha Machado - EI;Vasconcelos;69.874.035/0001-56;AGENTE;Alves;Alves;04.318.759/0001-78;4.318.759;AGENTE;Sá Ramos Ltda.;73.568.249/0001-71;REAL DONO;EVERGREEN;58 - DESCRIÇÃO NCM2;5822 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;ITALIA;SHANGHAI;AMERICA DO NORTE;ARGENTINA;ITAJAI;1.75;SIM
23/02/2025;2025;4;OUT;IMPO;das Neves;40.795.831/0001-11;REAL DONO;Araújo - ME;Campos Campos - ME;32.567.048/0001-72;FORWARDER;da Mota Silveira - ME;da Mota Silveira - ME;48.231.965/0001-11;48.231.965;AGENTE;da Mata Nogueira S.A.;47.683.905/0001-77;FORNECEDOR;HAPAG-LLOYD;33 - DESCRIÇÃO NCM2;3332 - DESCRIÇÃO NCM4;REF;AMERICA DO NORTE;COREIA DO SUL;NINGBO;ECSA;EUA;ITAJAI;1.24;SIM
07/06/2024;2024;2;DEZ;EXPO;Almeida;90.157.634/0001-45;AGENTE;Azevedo S/A;Brito;38.105.496/0001-30;FORWARDER;Leão;Leão;20.169.548/0001-77;20.169.548;REAL DONO;Viana S/A;49.712.630/0001-88;REAL DONO;ONE;99 - DESCRIÇÃO NCM2;9921 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;JAPAO;NINGBO;ECSA;URUGUAI;SANTOS;1.3;NAO
01/11/2024;2024;4;JUL;EXPO;Macedo;61.295.804/0001-50;AGENTE;Pinto;Moreira S/A;39.624.517/0001-97;FORWARDER;da Cunha Macedo - EI;da Cunha Macedo - EI;94.135.278/0001-10;94.135.278;AGENTE;Borges;30.958.476/0001-09;FORNECEDOR;MAERSK LINE;43 - DESCRIÇÃO NCM2;4359 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;JAPAO;TOKYO;ECSA;ALEMANHA;MONTEVIDEU;2.59;NAO
07/07/2025;2025;3;JAN;IMPO;Pereira;74.263.890/0001-60;REAL DONO;Pacheco;Castro S/A;04.932.617/0001-04;AGENTE;Oliveira;Oliveira;49.651.807/0001-83;49.651.807;FORNECEDOR;da Mata Souza - EI;23.167.498/0001-87;FORNECEDOR;YANG MING;77 - DESCRIÇÃO NCM2;7714 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;JAPAO;TOKYO;AMERICA DO NORTE;EUA;MONTEVIDEU;2.82;SIM
01/04/2025;2025;2;SET;EXPO;Alves das Neves S.A.;54.791.208/0001-03;FORNECEDOR;Z;da Rocha Rocha S/A;92.135.460/0001-45;FORWARDER;Silveira - ME;Silveira - ME;72.809.541/0001-76;72.809.541;AGENTE;Brito;84.917.562/0001-94;REAL DONO;ONE;94 - DESCRIÇÃO NCM2;9460 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;COREIA DO SUL;TAIPEI;EUROPA;EUA;PARANAGUA;1.46;SIM
08/09/2024;2024;3;FEV;EXPO;Andrade S/A;32.916.450/0001-15;FORNECEDOR;das Neves e Filhos;Peixoto;57.860.312/0001-92;FORWARDER;Farias Peixoto Ltda.;Farias Peixoto Ltda.;60.432.985/0001-56;60.432.985;REAL DONO;Vargas;84.276.930/0001-62;FORNECEDOR;EVERGREEN;24 - DESCRIÇÃO NCM2;2419 - DESCRIÇÃO NCM4;DRY;EUROPA;JAPAO;BUSAN;ASIA;ARGENTINA;BUENOS AIRES;1.38;NAO
17/07/2025;2025;3;AGO;IMPO;Garcia e Filhos;48.316.279/0001-43;REAL DONO;das Neves Cirino Ltda.;Araújo;96.843.051/0001-54;AGENTE;Melo Costa - ME;Melo Costa - ME;24.706.519/0001-58;24.706.519;REAL DONO;Sales;75.812.906/0001-00;REAL DONO;HAPAG-LLOYD;18 - DESCRIÇÃO NCM2;187 - DESCRIÇÃO NCM4;ISO;AMERICA DO NORTE;JAPAO;LOS ANGELES;AMERICA DO NORTE;EUA;RIO DE JANEIRO;2.46;NAO
28/07/2025;2025;4;ABR;IMPO;Pinto;49.736.802/0001-53;FORNECEDOR;Z;Freitas Ribeiro S.A.;56.072.148/0001-96;NVOCC;BCO;Teixeira Ramos - EI;40.265.918/0001-87;40.265.918;AGENTE;Sampaio S.A.;12.935.470/0001-26;REAL DONO;COSCO;14 - DESCRIÇÃO NCM2;1481 - DESCRIÇÃO NCM4;REF;OCEANIA;EUA;LOS ANGELES;EUROPA;EUA;BUENOS AIRES;0.42;NAO
09/03/2025;2025;2;AGO;EXPO;da Cunha Alves e Filhos;42.738.569/0001-07;FORNECEDOR;Sousa - EI;Araújo - ME;45.706.823/0001-75;AGENTE;Montenegro;Montenegro;35.129.867/0001-26;35.129.867;FORNECEDOR;Barbosa;98.240.315/0001-00;FORNECEDOR;HAPAG-LLOYD;48 - DESCRIÇÃO NCM2;4829 - DESCRIÇÃO NCM4;REF;AMERICA DO NORTE;ITALIA;TOKYO;AMERICA DO NORTE;EUA;PARANAGUA;3.58;NAO
09/11/2024;2024;2;JUN;IMPO;Silveira Costa e Filhos;30.975.216/0001-33;REAL DONO;Rodrigues Aragão S.A.;Garcia;24.097.851/0001-62;NVOCC;da Paz e Filhos;da Paz e Filhos;40.851.267/0001-07;40.851.267;FORNECEDOR;Rezende;57.981.206/0001-67;FORNECEDOR;ONE;50 - DESCRIÇÃO NCM2;5088 - DESCRIÇÃO NCM4;FR;EUROPA;CHINA;BUSAN;ECSA;ALEMANHA;SANTOS;2.63;NAO
25/06/2024;2024;3;OUT;EXPO;Silva;82.046.351/0001-06;REAL DONO;Z;da Conceição;56.718.924/0001-82;FORWARDER;Almeida;Almeida;81.456.237/0001-83;81.456.237;FORNECEDOR;Martins Mendes - ME;68.347.521/0001-53;REAL DONO;EVERGREEN;31 - DESCRIÇÃO NCM2;3137 - DESCRIÇÃO NCM4;FR;OCEANIA;TAIWAN;BUSAN;EUROPA;EUA;SANTOS;4.52;SIM
19/12/2024;2024;3;SET;EXPO;Pinto Ltda.;24.957.813/0001-32;AGENTE;Peixoto;Vasconcelos Azevedo e Filhos;17.956.802/0001-72;NVOCC;BCO;Montenegro Rios e Filhos;98.761.253/0001-82;98.761.253;REAL DONO;Brito S/A;86.934.075/0001-65;REAL DONO;COSCO;73 - DESCRIÇÃO NCM2;7342 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;TAIWAN;NINGBO;AMERICA DO NORTE;ARGENTINA;MONTEVIDEU;1.5;SIM
09/01/2024;2024;3;SET;IMPO;Novais da Mota S/A;12.375.890/0001-03;REAL DONO;Z;Vieira Ltda.;83.172.460/0001-24;FORWARDER;Cavalcante;Cavalcante;53.829.146/0001-00;53.829.146;REAL DONO;Rezende;26.830.495/0001-70;FORNECEDOR;MSC;58 - DESCRIÇÃO NCM2;5856 - DESCRIÇÃO NCM4;OT;OCEANIA;JAPAO;TOKYO;AMERICA DO NORTE;BRAZIL;MONTEVIDEU;2.79;NAO
09/11/2024;2024;4;SET;EXPO;Lopes e Filhos;83.097.214/0001-55;FORNECEDOR;Castro;Cavalcante;16.034.529/0001-66;FORWARDER;Carvalho;Carvalho;75.263.019/0001-20;75.263.019;FORNECEDOR;da Cunha;47.250.896/0001-20;FORNECEDOR;COSCO;52 - DESCRIÇÃO NCM2;5228 - DESCRIÇÃO NCM4;FR;EUROPA;ALEMANHA;NINGBO;AMERICA DO NORTE;BRAZIL;PARANAGUA;2.31;NAO
01/04/2024;2024;1;OUT;IMPO;Mendes - ME;39.275.480/0001-39;AGENTE;Caldeira;Novaes;06.587.432/0001-27;NVOCC;Siqueira e Filhos;Siqueira e Filhos;70.345.281/0001-08;70.345.281;FORNECEDOR;Aragão;87.931.624/0001-00;FORNECEDOR;HAPAG-LLOYD;13 - DESCRIÇÃO NCM2;1387 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;JAPAO;HAMBURGO;EUROPA;BRAZIL;RIO DE JANEIRO;3.73;SIM
16/09/2024;2024;2;MAI;IMPO;Sampaio;09.162.478/0001-92;AGENTE;Nunes;Monteiro S.A.;72.639.810/0001-01;FORWARDER;Caldeira - EI;Caldeira - EI;58.290.716/0001-50;58.290.716;AGENTE;Pacheco;47.291.608/0001-86;FORNECEDOR;MAERSK LINE;14 - DESCRIÇÃO NCM2;1492 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;ITALIA;NINGBO;ECSA;BRAZIL;PARANAGUA;4.12;SIM
23/11/2024;2024;2;AGO;EXPO;Azevedo;29.456.871/0001-04;REAL DONO;Campos - EI;Viana S/A;81.907.642/0001-70;FORWARDER;Costa - EI;Costa - EI;57.804.619/0001-76;57.804.619;REAL DONO;Gonçalves;89.731.540/0001-59;REAL DONO;CMA CGM;91 - DESCRIÇÃO NCM2;9177 - DESCRIÇÃO NCM4;REF;AMERICA DO NORTE;ITALIA;NINGBO;AMERICA DO NORTE;URUGUAI;MONTEVIDEU;0.24;SIM
07/05/2025;2025;1;NOV;IMPO;Araújo Câmara - ME;96.374.810/0001-87;FORNECEDOR;da Rosa;Gomes;84.950.612/0001-35;AGENTE;Albuquerque Monteiro e Filhos;Albuquerque Monteiro e Filhos;82.456.793/0001-12;82.456.793;FORNECEDOR;Barbosa - EI;18.467.532/0001-07;FORNECEDOR;COSCO;19 - DESCRIÇÃO NCM2;1999 - DESCRIÇÃO NCM4;DRY;OCEANIA;ALEMANHA;NINGBO;EUROPA;ALEMANHA;RIO DE JANEIRO;1.94;SIM
30/05/2025;2025;2;ABR;IMPO;Fogaça;84.631.920/0001-06;REAL DONO;Z;Melo;76.590.241/0001-08;FORWARDER;BCO;Melo;84.762.091/0001-92;84.762.091;AGENTE;Jesus S.A.;57.810.346/0001-72;REAL DONO;MSC;8 - DESCRIÇÃO NCM2;814 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;JAPAO;BUSAN;AMERICA DO NORTE;ARGENTINA;ITAJAI;4.06;NAO
18/08/2024;2024;3;FEV;IMPO;Ferreira Moreira e Filhos;98.017.654/0001-22;FORNECEDOR;Z;Lopes;03.962.754/0001-10;FORWARDER;BCO;Castro Marques - EI;59.670.134/0001-62;59.670.134;FORNECEDOR;Sampaio - EI;02.517.863/0001-66;REAL DONO;COSCO;81 - DESCRIÇÃO NCM2;8180 - DESCRIÇÃO NCM4;REF;EUROPA;JAPAO;LOS ANGELES;ECSA;EUA;MONTEVIDEU;1.52;NAO
01/01/2024;2024;4;OUT;EXPO;Aparecida Ltda.;32.185.064/0001-09;FORNECEDOR;Z;Nogueira - EI;70.461.285/0001-43;NVOCC;BCO;Borges;50.324.987/0001-78;50.324.987;REAL DONO;Mendes;04.829.356/0001-93;FORNECEDOR;HAPAG-LLOYD;69 - DESCRIÇÃO NCM2;6936 - DESCRIÇÃO NCM4;FR;OCEANIA;CHINA;SHANGHAI;AMERICA DO NORTE;ARGENTINA;PARANAGUA;4.98;NAO
25/01/2025;2025;1;SET;IMPO;Sales Ltda.;89.407.125/0001-44;AGENTE;Pimenta;da Cunha Costela S.A.;75.306.248/0001-84;FORWARDER;Moraes;Moraes;79.802.146/0001-00;79.802.146;AGENTE;Ferreira;14.783.965/0001-02;FORNECEDOR;EVERGREEN;28 - DESCRIÇÃO NCM2;2810 - DESCRIÇÃO NCM4;FR;AMERICA DO NORTE;COREIA DO SUL;TAIPEI;EUROPA;ALEMANHA;ITAJAI;0.71;SIM
20/02/2025;2025;1;DEZ;IMPO;da Conceição;47.319.605/0001-03;FORNECEDOR;Barros - ME;Fogaça;86.793.125/0001-31;NVOCC;Moreira - ME;Moreira - ME;24.157.308/0001-03;24.157.308;FORNECEDOR;Andrade;85.932.416/0001-09;REAL DONO;MSC;9 - DESCRIÇÃO NCM2;912 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;TAIWAN;LOS ANGELES;EUROPA;BRAZIL;BUENOS AIRES;2.32;SIM
07/10/2024;2024;2;JAN;EXPO;Rodrigues;76.234.815/0001-05;REAL DONO;Campos;Duarte Pereira Ltda.;78.510.624/0001-46;NVOCC;Gomes S/A;Gomes S/A;27.960.341/0001-65;27.960.341;AGENTE;Mendes Rodrigues Ltda.;81.423.765/0001-36;REAL DONO;ONE;92 - DESCRIÇÃO NCM2;9255 - DESCRIÇÃO NCM4;DRY;AMERICA DO NORTE;CHINA;LOS ANGELES;EUROPA;URUGUAI;RIO DE JANEIRO;0.27;NAO
26/06/2024;2024;4;SET;IMPO;Brito Lopes - EI;09.184.275/0001-05;REAL DONO;Z;da Costa Fogaça S.A.;17.240.653/0001-40;FORWARDER;Monteiro Cirino e Filhos;Monteiro Cirino e Filhos;97.408.321/0001-61;97.408.321;AGENTE;Pastor;49.601.735/0001-60;FORNECEDOR;HAPAG-LLOYD;31 - DESCRIÇÃO NCM2;311 - DESCRIÇÃO NCM4;ISO;EUROPA;ALEMANHA;NINGBO;ECSA;EUA;ITAJAI;1.33;NAO
08/06/2024;2024;2;OUT;IMPO;Cirino;10.368.475/0001-99;AGENTE;Pacheco;Almeida;86.430.297/0001-40;AGENTE;Cunha Cavalcanti S.A.;Cunha Cavalcanti S.A.;06.517.248/0001-00;6.517.248;FORNECEDOR;Nascimento;43.586.791/0001-96;FORNECEDOR;MAERSK LINE;45 - DESCRIÇÃO NCM2;4592 - DESCRIÇÃO NCM4;OT;AMERICA DO NORTE;TAIWAN;LOS ANGELES;EUROPA;BRAZIL;RIO DE JANEIRO;1.64;SIM
13/03/2025;2025;1;MAI;IMPO;Rodrigues Pimenta - ME;67.512.803/0001-04;REAL DONO;Sampaio S.A.;Moreira;03.756.921/0001-77;FORWARDER;Novaes;Novaes;76.523.109/0001-75;76.523.109;FORNECEDOR;Pires;15.240.738/0001-01;FORNECEDOR;MSC;21 - DESCRIÇÃO NCM2;2181 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;ITALIA;LOS ANGELES;EUROPA;ARGENTINA;PARANAGUA;3.44;SIM
29/11/2024;2024;2;SET;EXPO;Aragão;76.128.309/0001-23;FORNECEDOR;Jesus;da Mota e Filhos;13.208.645/0001-66;AGENTE;Sousa;Sousa;46.532.091/0001-07;46.532.091;FORNECEDOR;Montenegro Dias - ME;98.731.560/0001-10;REAL DONO;CMA CGM;72 - DESCRIÇÃO NCM2;7211 - DESCRIÇÃO NCM4;DRY;OCEANIA;TAIWAN;TAIPEI;ASIA;URUGUAI;SANTOS;4.31;SIM
09/07/2025;2025;2;JUN;EXPO;Oliveira;64.310.892/0001-00;FORNECEDOR;Vieira Peixoto Ltda.;Brito Ltda.;21.098.347/0001-99;FORWARDER;Fernandes das Neves Ltda.;Fernandes das Neves Ltda.;51.497.036/0001-63;51.497.036;REAL DONO;Barros e Filhos;28.035.479/0001-10;REAL DONO;YANG MING;92 - DESCRIÇÃO NCM2;9286 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;TAIWAN;NINGBO;ASIA;EUA;MONTEVIDEU;0.3;NAO
